ensembl_id,gene_symbol,entrez_id,refseq_id
ENSG00000021461,CYP3A43,64816,NM_001278921.2
ENSG00000021488,SLC7A9,11136,NM_001126335.2
ENSG00000021574,SPAST,6683,NM_001363823.2
ENSG00000021645,NRXN3,9369,NM_001105250.3
ENSG00000021762,OSBPL5,114879,NM_001144063.2
ENSG00000021776,AQR,9716,NM_014691.3
ENSG00000021826,CPS1,1373,NM_001122633.3
ENSG00000021852,C8B,732,NM_000066.4
ENSG00000022267,FHL1,2273,NM_001159699.2
ENSG00000022277,RTFDC1,51507,NM_001283035.2
ENSG00000022355,GABRA1,2554,NM_000806.5
ENSG00000022556,NLRP2,55655,NM_001174081.3
ENSG00000022567,SLC45A4,57210,NM_001080431.3
ENSG00000022840,RNF10,9921,NM_001330474.2
ENSG00000022976,ZNF839,55778,NM_001267827.2
ENSG00000023041,ZDHHC6,64429,NM_001303134.2
ENSG00000023171,GRAMD1B,57476,NM_001286563.3
ENSG00000023191,RNH1,6050,NM_002939.4
ENSG00000023228,NDUFS1,4719,NM_001199981.2
ENSG00000023287,RB1CC1,9821,NM_001083617.2
ENSG00000023318,ERP44,23071,NM_015051.3
ENSG00000023330,ALAS1,211,NM_000688.6
ENSG00000023445,BIRC3,330,NM_001165.5
ENSG00000023516,AKAP11,11215,NM_016248.4
ENSG00000023572,GLRX2,51022,NM_001243399.2
ENSG00000023608,SNAPC1,6617,NM_003082.4
ENSG00000023697,DERA,51071,NM_001300779.2
ENSG00000023734,STRAP,11171,NM_007178.4
ENSG00000023839,ABCC2,1244,NM_000392.5
ENSG00000023892,DEF6,50619,NM_022047.4
ENSG00000023902,PLEKHO1,51177,NM_001304722.2
ENSG00000023909,GCLM,2730,NM_001308253.2
ENSG00000024048,UBR2,23304,NM_001184801.2
ENSG00000024422,EHD2,30846,NM_014601.4
ENSG00000024526,DEPDC1,55635,NM_001114120.3
ENSG00000024862,CCDC28A,25901,NM_001379071.1
ENSG00000025039,RRAGD,58528,NM_021244.5
ENSG00000025156,HSF2,3298,NM_001135564.1
ENSG00000025293,PHF20,51230,NM_016436.5
ENSG00000025423,HSD17B6,8630,NM_003725.4
ENSG00000025434,NR1H3,10062,NM_001130101.3
ENSG00000025708,TYMP,1890,NM_001113755.3
ENSG00000025770,NCAPH2,29781,NM_001185011.2
ENSG00000025772,TOMM34,10953,NM_006809.5
ENSG00000025796,SEC63,11231,NM_007214.5
ENSG00000025800,KPNA6,23633,NM_012316.5
ENSG00000026025,VIM,7431,NM_003380.5
ENSG00000026036,RTEL1-TNFRSF6B,100533107,NR_037882.1
